# init omega gamma A f
1.401335863e+00 2.780593452e+00 7.905134836e-01 2.150693627e+01 5.645247048e+00
4.596520562e-01 1.284441262e+00 5.338336287e-01 5.603760578e+00 4.821771063e+00
-2.467911004e-01 2.822398256e+00 4.391081478e-01 2.464109059e+01 4.735980910e+00
-8.593166720e-01 2.316294459e+00 3.277351775e-01 3.558557519e+01 3.956957779e+00
-1.059884269e+00 1.010930752e+00 3.398432336e-01 2.308094468e+01 3.968330953e+00
-4.560781264e-01 2.611056796e+00 2.495549689e-01 3.186236685e+01 4.406073466e+00
-7.986626362e-01 1.426207304e+00 3.406871709e-01 1.930435782e+01 3.615516941e+00
-1.009123842e-01 3.052580392e+00 4.025742552e-01 2.286952456e+01 3.685971845e+00
8.681323445e-01 2.270635586e+00 2.785419528e-01 6.404567999e+00 3.570923306e+00
-1.448561328e+00 1.311484008e+00 4.371093414e-02 1.841820104e+01 5.529112444e+00
8.856064221e-01 2.973147333e+00 4.397182291e-01 3.878104605e+01 6.002216644e+00
-1.042058293e+00 1.763884493e+00 5.056604473e-01 1.923832482e+01 3.555854939e+00
2.789765455e-01 7.978743257e-01 7.895984707e-01 2.079014571e+01 5.951568300e+00
-1.556155191e+00 3.072302560e+00 2.014527110e-01 1.468161411e+01 5.047924183e+00
1.046088243e+00 2.129535684e+00 2.581324717e-01 1.879727656e+01 3.414239939e+00
6.830739458e-01 1.474265146e+00 9.764744704e-03 2.059141239e+01 4.443173565e+00
-1.009721848e+00 1.933791147e+00 5.216764256e-01 1.597720063e+01 5.730159881e+00
1.315325351e+00 2.398461442e+00 7.311130960e-01 1.230849055e+01 3.419641528e+00
-4.630328474e-01 2.117508705e+00 6.713187305e-01 1.271498383e+01 5.261117609e+00
3.528750372e-01 7.876600084e-01 1.272744389e-01 1.394549309e+01 4.195299025e+00
-8.910026075e-01 2.254479515e+00 5.768603525e-01 3.591371197e+01 4.943120753e+00
-4.509767924e-03 2.958145295e+00 5.962227892e-01 2.598819017e+01 3.816715298e+00
5.755893896e-01 2.761004156e+00 2.475047504e-01 1.240296970e+01 5.901765440e+00
-9.491450939e-01 8.268603651e-01 5.370347308e-01 7.841085501e+00 5.613384318e+00
-5.462676361e-01 2.943258621e+00 6.353971213e-01 2.188359122e+01 4.170787686e+00
-2.084942445e-01 1.688316354e+00 4.232406757e-01 1.589999504e+00 5.008650915e+00
1.730188485e-01 1.130312620e+00 4.619691839e-01 8.326372431e+00 4.856819223e+00
-6.555593785e-01 2.699307301e+00 6.583070659e-01 2.946561143e+01 3.266641560e+00
-8.517701494e-02 2.074010615e+00 9.073362382e-03 3.242558751e+01 3.587065011e+00
-1.242975492e+00 3.056568357e+00 2.949804599e-01 3.863352357e+01 5.116700967e+00
-1.949699096e-01 1.277888583e+00 5.597016511e-01 1.379461602e+01 4.349845543e+00
-1.503495787e+00 2.151039863e+00 6.954806907e-01 2.591374427e+01 3.659131046e+00
-1.007841667e+00 1.868604572e+00 6.100061326e-01 3.489834101e+00 5.412193278e+00
1.297040418e+00 8.916024976e-01 1.804978594e-01 2.783779276e+01 6.026915601e+00
-9.205048836e-01 1.377654895e+00 3.443006050e-01 1.395657947e+01 5.493491925e+00
-4.266634748e-01 1.940590691e+00 4.410815485e-01 1.089480323e+00 4.756672853e+00
-1.001298866e+00 2.208500779e+00 6.548541668e-01 2.901198654e+00 5.632183273e+00
2.673261036e-01 1.995362397e+00 6.395788557e-01 6.716350422e+00 4.033833528e+00
2.769483668e-01 2.660857152e+00 5.533388118e-01 2.476835343e+01 4.062602327e+00
1.233991618e+00 8.589587876e-01 5.447230861e-01 1.049112593e+01 4.610377526e+00
7.313000388e-01 1.447099873e+00 5.053500788e-01 1.302285033e+01 4.175116945e+00
1.393003916e+00 1.280170271e+00 1.705894722e-01 2.738262257e+01 3.898682323e+00
-9.583785024e-01 3.092040430e+00 1.409067090e-02 2.053407490e+01 3.903856101e+00
-8.130102391e-01 2.709282273e+00 9.250953114e-02 3.554913584e+01 5.279594480e+00
1.149094076e+00 1.967630377e+00 2.220579236e-01 9.313561618e+00 6.090990252e+00
1.162089790e+00 8.691262933e-01 2.605389449e-01 2.421848663e+01 3.562895519e+00
-1.149811066e+00 1.675335150e+00 2.989075534e-01 2.066004978e+01 5.543880405e+00
-4.305355875e-01 2.628516401e+00 4.588313003e-01 2.113805475e+01 4.034399659e+00
-1.527285080e+00 1.583561781e+00 7.634763695e-01 4.274905559e+00 5.325809047e+00
-8.364618263e-01 2.398430395e+00 4.162831925e-01 2.333206020e+01 5.329394221e+00
-4.841076320e-01 1.205939822e+00 6.602172531e-01 1.430696884e+01 6.181883233e+00
-6.012585089e-01 1.706323555e+00 2.474634710e-01 1.334193676e+01 3.992045005e+00
-1.189336535e+00 2.560468914e+00 6.211415574e-01 3.078632902e+01 4.454831843e+00
1.423235289e+00 1.534890824e+00 7.959994543e-03 3.021675477e+01 5.581687057e+00
-4.464572904e-01 2.762985971e+00 2.039587152e-01 6.682865984e+00 4.121408229e+00
-8.626232014e-02 1.703205034e+00 7.343553981e-01 8.867632814e+00 5.641594102e+00
6.115454242e-01 9.170647331e-01 3.296776564e-01 1.717782663e+01 3.630401512e+00
9.899918919e-01 1.304876553e+00 7.311447774e-01 6.048268354e+00 6.109294020e+00
1.222987747e+00 2.681363029e+00 3.207566203e-01 2.908902641e+01 3.320568478e+00
2.750474483e-01 2.283665781e+00 4.971689745e-01 1.961284428e+01 3.244484809e+00
1.206046960e+00 1.350241411e+00 3.604411346e-02 1.597970662e+01 3.842941514e+00
1.695687810e-01 1.783395267e+00 5.590017682e-01 3.328918325e+01 3.751438847e+00
9.280485985e-01 1.528203110e+00 1.477850992e-01 3.962800058e+01 5.232991491e+00
-8.090862327e-01 1.870963405e+00 3.609124192e-01 2.931704397e+01 5.747078978e+00
7.833431577e-01 1.722742866e+00 2.192130077e-01 2.478679210e+01 4.075808999e+00
-7.565533004e-01 1.575368553e+00 4.729274293e-01 2.130152633e+01 5.563457239e+00
2.414460708e-01 2.659726782e+00 4.732896195e-02 1.622138301e+01 3.194481228e+00
1.368049681e+00 2.126496458e+00 6.328868271e-01 3.055061087e+00 3.880134147e+00
3.587884621e-01 1.229096458e+00 6.956520913e-01 2.334126908e+01 4.248310451e+00
-1.348363030e+00 9.571995117e-01 3.592580322e-01 2.853967186e+01 5.377469623e+00
1.234094032e+00 3.051313715e+00 5.768156107e-01 5.604638156e+00 4.310350167e+00
6.156782796e-02 2.448926708e+00 7.266540586e-01 3.594571080e+01 4.941744475e+00
-1.305887862e+00 2.461426897e+00 1.638346008e-01 1.712808819e+01 6.240192758e+00
-3.951870903e-01 2.427623832e+00 3.807947209e-01 2.898273757e+01 6.116430759e+00
7.307605677e-01 1.796377290e+00 6.455120648e-01 2.762105218e+01 3.755652764e+00
-1.278041606e+00 1.959846238e+00 3.474423646e-01 1.585173564e+01 6.004242423e+00
5.268532791e-01 2.250528689e+00 6.642382660e-01 6.807737614e+00 3.600200686e+00
1.558422321e+00 2.431558274e+00 1.591968532e-01 3.382081479e+01 5.816969709e+00
-9.759170082e-01 1.206796036e+00 2.555808865e-01 2.683254145e+01 6.268243174e+00
4.321564853e-01 2.021004732e+00 5.417047759e-01 2.463711893e+01 4.741899312e+00
1.330155313e+00 8.457507156e-01 5.090276834e-01 5.525799033e+00 5.421780062e+00
9.812073926e-01 1.787934484e+00 3.131365364e-01 5.110666765e+00 3.991110984e+00
-8.309800108e-01 8.773634804e-01 1.580922647e-01 3.306260996e+01 5.379168590e+00
5.021255675e-01 1.654890895e+00 6.959539091e-01 1.407113920e+01 3.438499715e+00
1.174707577e+00 2.587267220e+00 6.008951563e-01 3.208984610e+01 3.980610099e+00
5.639370147e-01 2.324896523e+00 5.410318204e-01 3.887174757e+00 4.478453018e+00
-1.026716309e+00 2.222836446e+00 3.122399742e-01 7.228881808e-01 3.366322026e+00
1.014835963e+00 1.597236469e+00 6.314760270e-01 2.069254151e+01 6.123678982e+00
1.075086701e+00 1.881747764e+00 4.704642586e-01 1.362035882e+01 4.817377503e+00
1.178245034e+00 1.255295340e+00 4.275896516e-01 2.826075656e+00 4.054803711e+00
-1.187142002e+00 1.279709600e+00 6.763394094e-01 2.087201079e+01 4.950575303e+00
-3.518903972e-01 1.174831575e+00 1.716980333e-01 2.377553916e-01 5.720726825e+00
7.997295289e-02 1.428100814e+00 7.292799600e-01 3.060643173e+01 5.182065330e+00
-1.172618526e+00 2.874553409e+00 7.990917024e-01 1.121683932e+01 3.313442322e+00
-3.298337656e-01 2.772241824e+00 7.854943638e-01 3.325712629e+01 5.895838224e+00
1.305042213e+00 2.973139168e+00 5.000185305e-01 3.905927714e+01 3.913729889e+00
8.014177761e-01 2.831781486e+00 7.044518711e-01 9.360900446e+00 3.593857149e+00
-1.372320661e+00 1.022502329e+00 5.213559018e-01 1.234635514e+01 6.068688308e+00
7.337877100e-01 2.620940295e+00 4.884579828e-01 2.876307384e+01 4.456867784e+00
1.067734687e-01 1.875354775e+00 3.244982866e-01 2.696341743e+01 4.219604455e+00
1.494695146e+00 2.529533794e+00 3.841380230e-01 4.799658359e+00 4.819608161e+00
5.931752219e-01 2.788583063e+00 6.101903211e-01 7.104802160e+00 6.025763898e+00
1.535429615e+00 2.471237432e+00 6.116737918e-01 1.620120033e+00 5.262024144e+00
-3.273128425e-01 2.464683331e+00 6.035537299e-01 1.378825225e+01 5.592357271e+00
8.893386963e-01 2.891497876e+00 7.302629845e-01 5.033318623e+00 4.597370191e+00
9.555410387e-01 1.323365200e+00 8.183841452e-02 1.033013864e+01 4.159243071e+00
-1.155431224e+00 1.551337793e+00 6.549773129e-01 3.625810262e+01 5.579170042e+00
-9.572770792e-01 2.977020757e+00 1.326555192e-01 2.227381496e+01 6.241428987e+00
1.663914863e-01 8.754704809e-01 3.104800849e-01 2.417876980e+01 4.569722662e+00
9.909057587e-01 1.961667687e+00 5.395366689e-01 1.449759009e+01 4.895295245e+00
-7.630769110e-01 3.020568175e+00 6.727205069e-01 7.671123014e+00 3.685855889e+00
-1.507868986e+00 1.922221290e+00 2.345104642e-01 1.472102406e+01 4.818346962e+00
-6.184773365e-01 1.320359729e+00 4.109881041e-01 1.737681551e+01 4.582031046e+00
-4.257786726e-01 2.977501889e+00 7.899601440e-01 3.770852080e+01 3.474056156e+00
3.421462441e-01 2.778534312e+00 4.911228633e-01 2.289341559e+01 4.892596533e+00
-9.803469670e-01 9.964734717e-01 2.274054509e-01 6.547956575e+00 6.145656482e+00
-7.548106320e-01 3.002254762e+00 4.478445714e-01 3.219355326e+01 6.173551234e+00
3.817905267e-01 8.439743544e-01 4.582886876e-01 1.934263333e+01 3.571192005e+00
-1.156015850e+00 2.053912039e+00 1.843191536e-01 3.530545100e+01 5.021783153e+00
-2.644195305e-01 1.960319499e+00 4.781591761e-01 4.890371405e+00 5.502230583e+00
-2.216163845e-01 2.789479570e+00 6.149776631e-01 8.649160431e+00 5.325320412e+00
-1.161971969e+00 2.765440310e+00 3.605872903e-01 1.437964493e+01 3.869070093e+00
-1.107994555e+00 2.314479671e+00 6.733346527e-02 3.220141152e+01 6.078384776e+00
-3.322777892e-01 1.928705088e+00 4.548770166e-01 2.732105341e+00 4.759337930e+00
7.503942363e-01 1.344575622e+00 2.587399860e-01 4.910977776e+00 6.026645239e+00
4.401166656e-01 1.649920620e+00 1.106257645e-01 2.539656945e+01 5.516690604e+00
9.156554261e-01 1.424266826e+00 7.436473469e-01 2.404727967e+01 4.526636908e+00
4.855370327e-01 2.113917621e+00 7.667124124e-01 3.627357434e+01 3.443486027e+00
-1.414593621e+00 1.798798112e+00 1.102082774e-01 1.011033408e+01 4.633266970e+00
9.478088162e-01 1.674822810e+00 3.865884967e-01 2.563884457e+01 4.581219972e+00
-6.359741376e-01 1.979236727e+00 4.620885317e-01 1.760867024e+00 5.160412734e+00
-2.676759230e-01 1.183671706e+00 2.731948384e-01 1.644376702e+01 5.266695166e+00
-8.659571148e-01 2.388334938e+00 6.305413483e-01 2.010634935e+01 4.673315167e+00
7.048897789e-01 2.097530595e+00 2.159131943e-01 2.321276243e+01 5.247030506e+00
9.477864910e-01 2.196355552e+00 1.515094440e-01 1.995054754e+01 5.664806511e+00
1.126960340e+00 1.632693724e+00 3.695468311e-01 2.260870621e+01 3.401963176e+00
-7.621486208e-01 1.541877230e+00 4.224280292e-01 8.905601795e+00 4.937918723e+00
3.555387062e-01 2.051329209e+00 6.385790919e-01 2.863624432e+01 4.072372528e+00
-5.489090212e-01 2.336862141e+00 7.081305610e-01 2.534466163e+01 4.186829355e+00
1.007576088e+00 3.054083907e+00 2.345167817e-01 2.952423540e+01 5.363304674e+00
-1.160662008e+00 2.489727502e+00 1.094785224e-01 4.307414282e+00 5.697096748e+00
8.854551645e-01 1.162077538e+00 1.441645610e-01 2.239523865e+01 4.794201918e+00
1.965048812e-01 1.660999308e+00 6.450634429e-01 2.397473105e+01 5.503610033e+00
-9.219238211e-01 2.030178667e+00 5.798949318e-02 1.682275142e+01 3.866307043e+00
-1.458503426e+00 1.021935979e+00 1.564275038e-01 5.390807844e+00 5.164419788e+00
-1.265821166e+00 8.018191288e-01 5.509285480e-01 1.365886051e+01 5.617841627e+00
1.178784965e+00 1.199338274e+00 3.205439051e-01 1.615887514e+01 5.873486702e+00
7.055352019e-01 1.924340961e+00 4.899142819e-01 1.715883699e+01 3.369064773e+00
8.076092208e-01 1.941825027e+00 5.100968306e-01 2.218165884e+00 5.832920409e+00
1.552443016e-01 1.975947011e+00 7.949674868e-01 3.249225648e+01 3.609082835e+00
-3.618737709e-01 1.093962038e+00 4.320583402e-01 2.311482556e+01 4.561842915e+00
-3.257768250e-01 2.500975040e+00 8.737963061e-02 2.850176263e+01 5.201556947e+00
-1.385701982e+00 2.162302108e+00 7.480392206e-01 1.911365532e+01 5.091034476e+00
3.320309485e-01 1.255653030e+00 4.030164580e-01 3.197346077e+01 5.612454071e+00
5.578403161e-01 2.454894138e+00 2.233133793e-01 2.040005111e+01 3.915632254e+00
-1.234405291e+00 2.684966748e+00 1.404234690e-02 3.756826260e+00 3.588016670e+00
1.024210392e+00 2.820848494e+00 3.016875501e-01 2.061466789e+00 3.254735810e+00
5.874335079e-01 2.904282613e+00 6.268966729e-01 1.089879725e+01 4.895558929e+00
1.404088907e+00 2.454123320e+00 3.465961174e-02 1.722453919e+01 4.063698446e+00
1.430749968e+00 2.655628471e+00 6.427131502e-02 3.441525066e+01 4.243610160e+00
1.055681602e+00 8.932562201e-01 4.905608602e-01 8.695225833e+00 3.322507927e+00
6.731019455e-03 2.517793482e+00 6.904854464e-01 3.147988159e+01 4.005780372e+00
-2.560719722e-01 1.843513607e+00 7.205148267e-01 4.993247308e+00 3.515314047e+00
-1.525800758e+00 1.175457767e+00 5.189218937e-01 1.869225741e+01 6.122046506e+00
-3.967811285e-01 1.801534918e+00 1.995593258e-01 1.418909823e+01 5.450651897e+00
-1.154742946e+00 2.042656441e+00 2.480383661e-01 2.741152063e+01 4.980163051e+00
-1.480346733e+00 2.338249226e+00 1.581676079e-01 2.887271698e+01 6.162919969e+00
3.715639259e-01 1.206964287e+00 5.735965177e-02 6.204888562e+00 6.020471398e+00
2.969433322e-01 8.272912033e-01 6.805644102e-01 2.267367504e+01 6.098202219e+00
7.100052288e-01 2.507257409e+00 1.268241900e-02 1.953009030e+01 5.031610786e+00
3.054171182e-01 3.094284575e+00 7.732984409e-01 6.795237865e+00 4.767664488e+00
1.435074610e-01 1.923838807e+00 3.427298563e-01 3.555302962e+01 5.853382005e+00
2.402771412e-01 2.415064653e+00 6.409164343e-01 1.213761618e+01 4.739532608e+00
-2.328309359e-01 2.189869746e+00 4.189689520e-01 1.483067701e+01 4.042627345e+00
1.071774552e+00 1.498519891e+00 1.866470414e-01 2.828674541e+01 5.810391422e+00
-1.351016322e+00 2.270923427e+00 9.168432635e-02 8.408176435e+00 4.012777139e+00
-1.450648671e+00 2.392176754e+00 6.130523557e-01 2.889035692e+01 5.488186605e+00
-1.491131305e+00 2.820381994e+00 3.835551810e-01 3.992277726e+01 5.211321607e+00
-1.078150772e-01 2.417334444e+00 3.310286704e-01 2.320587255e+01 3.359662235e+00
6.599954455e-01 1.773403811e+00 2.606293347e-01 4.985586346e+00 5.327339877e+00
8.530036934e-01 2.503309035e+00 4.533013864e-01 2.116607192e+01 5.305975085e+00
1.885542007e-01 8.233353683e-01 4.869295453e-01 1.162482120e+01 3.359715059e+00
9.993589674e-01 1.694144035e+00 5.951098266e-01 2.786158023e+01 5.276114210e+00
9.899703221e-01 8.123602989e-01 1.628061435e-01 3.399603974e+01 3.140393290e+00
-9.429815967e-01 9.747129992e-01 3.513372547e-01 3.999117896e+01 6.243988256e+00
-8.901452615e-01 1.610908711e+00 3.767457436e-01 1.628649814e-01 3.538661116e+00
1.131057703e+00 2.133653706e+00 4.641858832e-01 1.482433602e+01 4.574570873e+00
1.559327122e+00 2.644511156e+00 2.896629527e-01 1.707577707e+01 6.088730981e+00
-9.415243631e-01 2.500194153e+00 6.837515382e-01 2.082333682e+01 5.578115134e+00
3.249229901e-01 1.562165450e+00 3.349441227e-01 7.176924285e+00 3.634842060e+00
-7.222408162e-01 1.018109145e+00 7.282169865e-01 3.398527344e+01 5.211776808e+00
1.437543361e-01 1.611852265e+00 7.911444470e-02 5.520722380e+00 5.412375538e+00
1.366286720e+00 1.601720470e+00 5.143501897e-01 1.592986602e+01 4.678342088e+00
-8.824872189e-01 2.375799869e+00 6.080142444e-01 2.153116897e+01 4.595163441e+00
-1.411440515e+00 1.166124953e+00 1.330225448e-01 2.574382860e+01 4.907235396e+00
2.511160585e-01 1.629262894e+00 5.541327612e-01 1.105442240e+01 5.568070327e+00
1.047675211e+00 1.248943552e+00 4.075634124e-01 5.739006424e+00 4.148156284e+00
1.176194738e-01 1.127047225e+00 2.044018659e-01 1.431013254e-01 3.429586200e+00
2.340790578e-01 8.078019954e-01 5.187137239e-01 1.699017419e+01 4.872709624e+00
3.821753545e-01 1.588223207e+00 1.313063133e-01 1.362577436e+01 3.930254084e+00
-4.163707059e-02 9.904703750e-01 4.608501215e-01 3.350308643e+01 3.494630689e+00
-1.354680448e+00 2.981436808e+00 1.608171830e-01 1.557742054e+01 4.664406498e+00
-3.424212705e-02 2.045338601e+00 1.508563260e-01 1.679593828e+00 3.812395756e+00
2.999344303e-01 2.597772097e+00 1.296134984e-01 3.664235297e+01 5.376113690e+00
-1.392353277e+00 9.371959648e-01 2.935348507e-02 2.626675956e+01 6.047968978e+00
5.250137573e-01 2.248426237e+00 1.517322241e-01 2.895255437e+01 4.478393729e+00
8.966412771e-01 2.739322352e+00 1.414259437e-01 4.039710413e+00 4.212741673e+00
1.366679321e+00 2.631477944e+00 1.693426115e-01 3.060288404e+01 5.052396716e+00
6.759828331e-01 1.341986713e+00 7.140258929e-01 6.776454900e-02 5.054944024e+00
1.265950406e+00 2.147622377e+00 3.884579449e-01 3.646714785e+00 5.688997210e+00
1.082211035e+00 2.340542546e+00 7.276127322e-01 1.402972919e+01 4.755843737e+00
6.198898262e-01 2.764427518e+00 5.014140281e-01 7.980549841e+00 4.599779540e+00
-5.325665713e-01 1.859005426e+00 5.876319101e-01 2.500424591e+01 5.731592113e+00
-1.389966543e+00 2.834524302e+00 2.552139256e-01 2.302769868e+01 4.180638776e+00
1.492109746e+00 1.162740576e+00 5.794318551e-04 1.345519342e+01 6.130590944e+00
4.037217919e-01 1.483008343e+00 5.354344204e-01 3.151661435e+01 4.614486674e+00
1.413184996e+00 1.222786378e+00 3.809936353e-01 3.854670619e+01 4.591588803e+00
-1.078170263e+00 2.587974508e+00 5.967375022e-01 3.842139789e+01 3.884472998e+00
-8.716149264e-01 2.914386754e+00 5.085189598e-01 1.167714693e+01 3.603901887e+00
2.179337434e-01 1.586396669e+00 2.681531109e-01 2.477098052e+01 3.908188541e+00
-6.796250489e-01 1.833096659e+00 4.716344098e-01 3.821976654e+00 4.012015378e+00
-1.501346170e+00 1.151562739e+00 3.042328510e-02 1.565231339e+01 4.689069944e+00
4.888324052e-01 3.060912951e+00 4.642280426e-01 1.411826764e+01 5.667274829e+00
-9.604327658e-01 1.645360606e+00 7.574970930e-01 7.817436563e+00 3.959467023e+00
1.111380329e+00 2.787859837e+00 3.653804618e-01 3.590512133e+01 5.653546328e+00
-1.244614610e+00 2.526083185e+00 2.658869481e-01 1.011587319e+01 5.345145697e+00
-4.934935741e-01 1.995121526e+00 6.381977543e-01 3.106706795e+01 5.963806848e+00
-5.705993762e-01 9.931979441e-01 3.366469988e-01 1.972840493e+01 5.896576733e+00
-7.321498541e-01 9.572658171e-01 9.832675998e-02 1.081993131e+01 4.814957348e+00
1.895253067e-01 2.686582555e+00 4.621551626e-01 2.604165451e+01 3.730990429e+00
1.145624714e-01 2.682849062e+00 1.528516553e-01 2.903386291e+01 3.792228192e+00
-1.284511181e+00 8.358428211e-01 1.036709404e-01 5.357193463e-01 5.306714245e+00
-3.494434291e-01 3.013085976e+00 4.637014364e-01 2.958748596e+01 4.735962521e+00
-1.233263774e-01 1.770414024e+00 6.901902937e-01 3.279825691e+01 5.935795869e+00
1.148675024e+00 1.361512314e+00 3.558980448e-01 2.951484441e+01 5.263320647e+00
8.822339949e-01 2.543408978e+00 3.528343191e-01 3.940775932e+01 5.239619890e+00
1.018469245e+00 2.321547957e+00 1.878569755e-01 6.200551522e+00 3.588369827e+00
3.683123544e-01 2.770376856e+00 7.629647304e-01 2.436415726e+01 4.978115687e+00
3.526952080e-02 1.756283804e+00 2.857522283e-01 2.578346938e+01 5.110232402e+00
1.396664545e+00 2.252596534e+00 4.402242875e-01 2.264063909e+01 6.087848495e+00
-1.263721066e-02 2.534821244e+00 3.548456997e-01 3.573425031e+01 3.723864916e+00
-8.417918059e-02 2.864350065e+00 6.736348353e-01 7.669859909e+00 5.364598858e+00
2.402924707e-01 2.474839904e+00 6.902124829e-01 2.420670446e+01 5.307067671e+00
-6.175806190e-01 8.454459970e-01 6.845365476e-01 3.463315168e+01 4.688510297e+00
1.202753413e+00 1.940570483e+00 4.621923540e-01 4.910046653e+00 3.362441642e+00
7.185161136e-02 2.904189622e+00 3.777902894e-01 3.824052007e+01 4.740502850e+00
1.594744296e-01 2.134657127e+00 2.525517553e-01 2.485091974e+01 4.861099907e+00
-8.796959639e-01 1.615170449e+00 4.152873362e-01 2.115005450e+01 5.858587292e+00
1.498166496e-01 2.949810965e+00 2.732155305e-01 1.434784448e+01 4.805627742e+00
6.901376821e-02 1.161653693e+00 1.112797909e-01 2.083561870e+01 5.225703930e+00
-8.051007475e-01 2.401549833e+00 5.449282694e-01 3.265018509e+00 3.177729978e+00
-2.269297088e-01 1.047298637e+00 7.308578697e-01 2.242949052e+01 5.882561111e+00
-1.262495268e+00 1.672303113e+00 5.479920917e-01 1.095457827e+00 5.536455293e+00
-8.753471012e-01 2.915397354e+00 6.588947094e-01 1.439232328e+01 4.632807803e+00
1.292075485e+00 9.277048543e-01 7.600142414e-01 3.080936483e+01 4.337556626e+00
1.187465001e+00 1.051685074e+00 2.632986120e-01 1.712087073e+01 5.238910872e+00
1.034970535e+00 1.014029687e+00 2.918396510e-01 3.051620266e+00 5.903265520e+00
6.943091441e-01 3.041926674e+00 5.592083741e-01 1.049008095e+01 4.725746526e+00
-5.532982220e-01 2.669050966e+00 8.671244607e-02 2.435215783e+01 5.603150638e+00
-1.330166511e+00 8.922756305e-01 7.409073697e-01 1.812806585e+01 5.614446083e+00
7.201199464e-01 3.021490673e+00 7.092012580e-01 2.805007787e+00 4.906598197e+00
-1.018249457e+00 2.642513411e+00 1.052659990e-02 2.757683282e+00 6.044544437e+00
6.126592486e-01 1.910650003e+00 2.898175812e-01 3.295531145e+01 5.901625824e+00
8.599138801e-01 2.504961766e+00 4.273788147e-01 2.490115258e+01 6.259088079e+00
-3.798179431e-01 2.502080204e+00 6.375238917e-01 8.944258659e+00 5.385989462e+00
-1.403193863e+00 1.455493026e+00 3.613496367e-01 3.929268231e+01 4.853818641e+00
4.015055401e-01 1.332811840e+00 1.881918339e-01 3.538520495e+01 4.308941550e+00
-2.565069145e-01 2.063274769e+00 6.201489437e-01 9.656298952e-01 4.555024368e+00
-1.376178226e+00 1.990319411e+00 5.731058525e-02 2.560607931e+01 5.797194096e+00
-3.163212891e-01 1.369200578e+00 5.430157488e-01 3.124494389e+01 4.739234312e+00
1.338824538e+00 1.317434955e+00 4.696339147e-01 2.684006268e+01 4.640028319e+00
-9.102953457e-01 1.317193501e+00 1.682061681e-01 2.937527280e+01 4.680913390e+00
1.135315464e+00 1.220276366e+00 3.187986734e-02 7.815888517e+00 5.605345940e+00
-8.684185379e-02 1.853480511e+00 2.086082440e-01 2.304956245e+01 6.090762358e+00
3.775731483e-01 1.145490089e+00 7.224690864e-02 2.406704842e+01 4.249607333e+00
-7.101348417e-01 2.157627888e+00 5.087309973e-01 1.461487367e+01 6.020711702e+00
-4.786949113e-01 1.392516353e+00 3.025677692e-01 3.459771884e+01 5.816865017e+00
-1.372078501e+00 2.585718899e+00 7.789803562e-01 3.039960084e+01 4.380177093e+00
-1.290698221e+00 2.917949035e+00 7.287912493e-01 3.428732836e+01 5.669239312e+00
2.827054285e-02 1.272375778e+00 1.808837361e-01 3.914832298e+01 4.649612043e+00
-7.791624304e-01 1.790435380e+00 6.069680028e-01 1.323191005e+00 3.550743847e+00
8.424645794e-01 2.899447342e+00 5.875703944e-01 7.751841941e+00 5.967227110e+00
-4.767666333e-01 1.739674678e+00 7.875625800e-01 3.262898749e+01 3.833467794e+00
1.150984588e+00 1.070488265e+00 1.287582989e-01 3.640036704e+01 4.324741306e+00
1.008346595e+00 9.539685540e-01 7.491581349e-01 2.848473897e+01 4.476918587e+00
-8.922400623e-01 1.063595431e+00 7.801253688e-01 1.064996432e+01 3.705754097e+00
-1.203873151e+00 2.973297577e+00 4.474116366e-01 2.083854723e+01 3.944144962e+00
-5.569628488e-01 2.767021949e+00 4.996133300e-01 9.377117062e+00 6.130312589e+00
1.852486185e-01 1.379113496e+00 1.146878586e-01 3.137227173e+01 5.384442063e+00
1.096264665e+00 1.977526631e+00 1.354582457e-01 7.743779397e+00 4.766702872e+00
1.504682022e+00 2.768309250e+00 5.638846523e-01 1.825839951e+01 5.748150897e+00
8.966175117e-01 1.816351664e+00 3.648289285e-01 7.897125886e+00 5.916483007e+00
-5.395401883e-01 2.129595302e+00 5.338527983e-01 3.694160817e+01 4.288992925e+00
1.500099128e+00 2.831526114e+00 7.926332345e-02 4.965197355e+00 4.722920543e+00
1.256263089e+00 2.582672405e+00 7.323899979e-01 1.543007828e+01 4.471074768e+00
5.267441908e-02 2.125263500e+00 3.591858897e-01 2.020394145e+01 6.267809871e+00
-3.420114853e-01 2.629295838e+00 6.395840754e-02 1.039916018e+01 4.559953792e+00
-3.929530011e-01 1.526278250e+00 4.124156248e-01 3.421455621e+01 3.999378622e+00
1.521044281e+00 2.481088954e+00 7.584258380e-01 1.749426799e+01 5.083196633e+00
-3.400188673e-01 2.245918338e+00 6.055977319e-01 3.075295812e+01 4.181777855e+00
4.517193421e-01 2.832677587e+00 2.664969539e-01 1.346157398e+00 3.912667504e+00
-1.191456108e+00 1.779300907e+00 3.232831043e-01 9.641310799e+00 4.324978611e+00
-1.214881947e+00 2.078948807e+00 1.820297540e-01 2.187112413e+01 4.348211028e+00
7.131145148e-01 1.117240228e+00 1.338363273e-01 1.986613981e+01 6.108142266e+00
1.167693841e+00 1.714844549e+00 3.470842926e-01 3.694406348e+01 5.818362161e+00
1.911178602e-01 1.776187034e+00 2.616046746e-01 1.495456143e+01 4.295183271e+00
1.099132548e+00 9.648954006e-01 4.882321079e-01 2.109103650e+01 6.110493746e+00
